first,system:index,Country,lon,Code,lat
2.486656497450483E-6,296,Indonesia,115.875,IDN,0.125
3.894518382089982E-6,297,Indonesia,117.125,IDN,0.125
1.674305866913843E-5,298,Indonesia,105.125,IDN,-4.375
,299,Vietnam,106.375,VNM,21.875
,300,Indonesia,111.875,IDN,-7.375
,301,Philippines,120.875,PHL,16.875
,302,Indonesia,110.375,IDN,0.625
1.571625251124244E-5,303,Philippines,121.375,PHL,13.125
3.2490647821093145E-5,304,Cambodia,102.875,KHM,13.125
6.287462429711538E-5,305,Thailand,100.625,THA,14.125
,306,Malaysia,103.375,MYS,2.625
,307,Vietnam,109.125,VNM,12.875
1.7435299992754628E-5,308,Myanmar,94.875,MMR,24.875
,309,Cambodia,103.125,KHM,11.375
,310,Indonesia,139.625,IDN,-4.125
9.530640317607073E-6,311,Philippines,117.375,PHL,8.625
,312,Vietnam,106.625,VNM,11.125
2.008521154487058E-5,313,Laos,100.875,LAO,20.625
9.064547210432623E-6,314,Indonesia,105.875,IDN,-6.625
8.736529060220091E-6,315,Indonesia,101.625,IDN,-0.625
,316,Cambodia,104.125,KHM,10.875
5.444379301963809E-6,317,Indonesia,99.875,IDN,0.125
,318,Malaysia,103.125,MYS,4.625
,319,Philippines,120.875,PHL,16.625
,320,Malaysia,101.875,MYS,4.125
1.4344638558468116E-5,321,Myanmar,93.875,MMR,22.625
2.084946837730319E-5,322,Laos,101.625,LAO,20.625
7.565361733231271E-6,323,Indonesia,117.625,IDN,4.125
2.0854616852068577E-5,324,Thailand,104.875,THA,15.625
3.745492209813614E-5,325,Vietnam,107.625,VNM,12.875
2.7375817403512808E-6,326,Malaysia,112.875,MYS,2.875
,327,Indonesia,97.125,IDN,3.875
,328,Indonesia,124.375,IDN,0.625
,329,Indonesia,109.875,IDN,-7.625
2.0922186829329108E-5,330,Myanmar,94.875,MMR,20.125
3.412886359276145E-6,331,Indonesia,136.875,IDN,-4.875
1.6345770712213613E-5,332,Laos,105.875,LAO,16.875
1.4030535490127947E-5,333,Myanmar,96.625,MMR,26.125
,334,Indonesia,121.875,IDN,-1.625
1.622753014351602E-5,335,Indonesia,105.375,IDN,-4.375
7.967824212718287E-6,336,Malaysia,116.375,MYS,4.625
3.945882727175037E-5,337,Thailand,99.625,THA,18.875
,338,Indonesia,107.125,IDN,-6.125
,339,Indonesia,103.875,IDN,-1.625
,340,Indonesia,112.875,IDN,-1.125
,341,Philippines,126.125,PHL,7.125
2.143644767220877E-5,342,Myanmar,97.375,MMR,23.875
2.6451532582334665E-7,343,Indonesia,120.375,IDN,-3.625
5.121800995635199E-6,344,Indonesia,112.375,IDN,-2.625
1.4567917489545434E-5,345,Thailand,100.375,THA,7.625
1.5801785030304234E-5,346,Vietnam,109.375,VNM,12.875
2.6350780729811682E-5,347,Myanmar,92.625,MMR,20.625
1.4066521499217784E-5,348,Myanmar,94.375,MMR,18.375
2.8715023004632072E-5,349,Myanmar,98.125,MMR,19.875
1.851195941441836E-5,350,Myanmar,100.125,MMR,20.625
3.6089644940914434E-6,351,Indonesia,121.625,IDN,-3.875
9.401272517309373E-6,352,Philippines,118.875,PHL,10.125
1.8933607155827605E-5,353,Myanmar,98.125,MMR,23.375
3.160576939109808E-5,354,Thailand,102.875,THA,14.625
3.892366547143199E-5,355,Thailand,99.875,THA,14.625
,356,Myanmar,98.375,MMR,25.625
7.390196720330465E-7,357,Indonesia,138.375,IDN,-3.125
,358,Vietnam,105.125,VNM,19.625
,359,Indonesia,130.875,IDN,-3.625
2.7829695885161663E-5,360,Vietnam,107.625,VNM,13.625
2.000411149534611E-5,361,Thailand,99.125,THA,19.875
5.29142142894206E-5,362,Thailand,100.375,THA,15.375
1.4511785514498896E-5,363,Indonesia,97.375,IDN,5.125
1.8445168984914983E-5,364,Thailand,101.375,THA,6.875
2.2003509729216663E-5,365,Laos,102.625,LAO,20.625
8.593138734308474E-6,366,Indonesia,103.125,IDN,-2.625
1.177015758550117E-5,367,Myanmar,93.625,MMR,22.375
2.8065024079784373E-5,368,Thailand,103.625,THA,15.375
,369,Malaysia,100.625,MYS,5.625
,370,Thailand,101.125,THA,6.625
2.2371423658543075E-5,371,Myanmar,96.375,MMR,22.625
2.0382290831890975E-5,372,Myanmar,95.125,MMR,22.375
,373,Indonesia,120.875,IDN,-8.875
2.4315841840845347E-6,374,Indonesia,115.875,IDN,-0.625
3.964705024138993E-6,375,Indonesia,135.875,IDN,-0.875
,376,Myanmar,97.875,MMR,26.375
4.5941287876419105E-6,377,Indonesia,104.875,IDN,-2.625
,378,Indonesia,116.375,IDN,3.125
,379,Philippines,124.125,PHL,7.875
1.2423711347024099E-5,380,Indonesia,120.375,IDN,-1.125
1.4969345428373954E-5,381,Myanmar,98.375,MMR,14.375
2.653267060172838E-5,382,Vietnam,107.875,VNM,13.875
2.579951232683852E-5,383,Thailand,104.125,THA,15.625
3.0861102509717675E-5,384,Indonesia,100.125,IDN,2.375
,385,Indonesia,128.375,IDN,-2.875
,386,Thailand,99.875,THA,8.375
,387,Indonesia,116.875,IDN,0.875
,388,Indonesia,120.375,IDN,-1.375
,389,Vietnam,108.375,VNM,13.625
7.088096672448002E-6,390,Malaysia,116.625,MYS,4.375
2.8438953492051358E-5,391,Thailand,101.875,THA,13.375
,392,Indonesia,104.375,IDN,-1.625
,393,Malaysia,113.125,MYS,3.125
1.7257776332293658E-5,394,Laos,106.125,LAO,16.125
,395,Indonesia,108.375,IDN,-6.875
1.838112981614533E-5,396,Laos,101.125,LAO,19.875
2.302643206476147E-5,397,Myanmar,97.625,MMR,19.375
,398,Malaysia,102.375,MYS,3.625
6.23218935570912E-7,399,Indonesia,134.125,IDN,-2.625
,400,Indonesia,102.375,IDN,1.375
1.0012309299850575E-5,401,Myanmar,99.125,MMR,12.125
1.4327300038082506E-5,402,Myanmar,98.125,MMR,23.125
2.0791500222862204E-5,403,Myanmar,98.375,MMR,21.625
2.7553695518830367E-5,404,Philippines,121.625,PHL,14.375
1.4427944100949983E-5,405,Indonesia,112.875,IDN,-2.375
,406,Vietnam,106.125,VNM,9.375
1.8118911257002407E-5,407,Myanmar,94.375,MMR,20.625
2.737563129957228E-5,408,Thailand,103.625,THA,16.375
3.268233931423322E-5,409,Thailand,100.625,THA,16.875
,410,Vietnam,105.375,VNM,20.875
2.820878365122242E-5,411,Thailand,99.125,THA,19.375
1.4364343630281065E-5,412,Indonesia,103.625,IDN,-2.375
,413,Indonesia,121.875,IDN,-3.375
,414,Indonesia,115.375,IDN,-2.375
1.9145837971310167E-5,415,Myanmar,98.625,MMR,20.625
,416,Myanmar,98.625,MMR,22.375
3.056070253143497E-6,417,Indonesia,140.625,IDN,-6.125
1.1919973807904156E-5,418,Indonesia,104.125,IDN,-2.875
,419,Malaysia,113.625,MYS,2.375
3.5077916096451973E-6,420,Malaysia,115.875,MYS,4.375
1.0155669721434058E-5,421,Laos,102.875,LAO,18.375
,422,Malaysia,114.625,MYS,1.875
,423,Vietnam,103.625,VNM,21.125
,424,Indonesia,108.125,IDN,-7.625
,425,Indonesia,116.125,IDN,-3.875
,426,Malaysia,115.125,MYS,3.375
,427,Myanmar,98.125,MMR,23.625
,428,Thailand,98.875,THA,8.375
1.608700753530865E-5,429,Philippines,124.875,PHL,10.625
2.0174730492952834E-5,430,Myanmar,97.625,MMR,17.125
1.4804925471747305E-5,431,Laos,106.875,LAO,15.875
3.7238018144838157E-6,432,Indonesia,134.875,IDN,-4.125
3.648024833542801E-5,433,Thailand,100.375,THA,17.125
7.559574630928257E-6,434,Indonesia,137.875,IDN,-1.875
5.2440435020439565E-6,435,Indonesia,132.625,IDN,-0.375
,436,Indonesia,109.625,IDN,0.125
1.8083674133561822E-5,437,Thailand,99.375,THA,8.625
,438,Cambodia,104.875,KHM,13.625
,439,Indonesia,122.375,IDN,-3.875
,440,Indonesia,99.875,IDN,1.375
2.5358276659826965E-6,441,Indonesia,135.125,IDN,-3.875
,442,Indonesia,113.375,IDN,-7.125
9.75021536604115E-6,443,Malaysia,117.125,MYS,6.875
4.6262179200683926E-5,444,Cambodia,106.875,KHM,13.125
1.899306319028081E-5,445,Myanmar,97.125,MMR,17.625
-4.8326698016473445E-6,446,Indonesia,140.375,IDN,-6.875
1.3829427076645595E-5,447,Thailand,98.875,THA,15.625
2.1838924536122275E-5,448,Myanmar,95.375,MMR,19.375
,449,Philippines,124.875,PHL,11.125
1.8167456144355503E-5,450,Thailand,99.125,THA,15.125
7.855085326533557E-6,451,Indonesia,120.125,IDN,-1.375
,452,Indonesia,139.625,IDN,-7.375
2.0424309977083572E-5,453,Myanmar,94.625,MMR,22.625
2.0373689835173298E-5,454,Myanmar,98.375,MMR,21.375
9.448226767842065E-6,455,Malaysia,116.875,MYS,4.375
,456,Indonesia,138.375,IDN,-7.875
,457,Vietnam,105.125,VNM,21.375
,458,Indonesia,97.875,IDN,3.375
1.6247392354094647E-5,459,Myanmar,97.875,MMR,21.125
1.0903559238732489E-5,460,Myanmar,94.375,MMR,19.375
,461,Indonesia,102.875,IDN,0.125
3.672061963612327E-6,462,Indonesia,134.625,IDN,-2.875
8.269718054559697E-5,463,Cambodia,107.125,KHM,13.375
1.486873356258792E-5,464,Philippines,124.875,PHL,11.875
,465,Indonesia,112.625,IDN,-1.375
2.1058806338677927E-5,466,Myanmar,96.125,MMR,20.875
9.89385523691201E-6,467,Indonesia,111.375,IDN,-1.625
3.008322444240675E-5,468,Myanmar,98.375,MMR,20.625
,469,Indonesia,113.875,IDN,-1.875
2.3996499062405278E-5,470,Thailand,104.625,THA,15.375
4.7959020379280436E-5,471,Cambodia,102.875,KHM,12.625
2.0315868065460995E-6,472,Indonesia,138.375,IDN,-3.625
5.273637160917866E-6,473,Malaysia,117.875,MYS,5.125
,474,Indonesia,99.625,IDN,3.125
2.8435917984528587E-5,475,Vietnam,108.125,VNM,12.875
,476,Indonesia,101.875,IDN,-0.625
2.35111620389074E-5,477,Thailand,103.125,THA,15.125
,478,Philippines,124.875,PHL,6.625
8.74994702579403E-6,479,Indonesia,124.875,IDN,-9.125
1.955499724527111E-5,480,Myanmar,95.625,MMR,22.375
1.82317897611134E-5,481,Laos,105.125,LAO,16.625
,482,Myanmar,96.625,MMR,25.125
4.70345926591188E-6,483,Malaysia,116.625,MYS,4.875
1.050082712575498E-5,484,Myanmar,98.875,MMR,11.875
9.158922589022095E-6,485,Myanmar,93.875,MMR,20.375
1.8192856183249352E-4,486,Vietnam,106.625,VNM,10.875
,487,Philippines,123.375,PHL,8.125
,488,Malaysia,118.125,MYS,5.125
,489,Indonesia,100.375,IDN,0.875
,490,Indonesia,132.375,IDN,-2.875
,491,Indonesia,120.125,IDN,-2.375
,492,Thailand,105.125,THA,14.375
4.7953983080992545E-6,493,Indonesia,115.125,IDN,-0.625
1.6921769746178228E-5,494,Myanmar,95.125,MMR,17.375
1.1550640908415277E-5,495,Indonesia,97.875,IDN,2.875
2.7938703512976535E-7,496,Indonesia,140.875,IDN,-5.625
4.5692837941794575E-7,497,Indonesia,98.875,IDN,-1.125
,498,Indonesia,116.625,IDN,0.375
,499,Indonesia,112.625,IDN,-0.875
1.05831787575491E-5,500,Thailand,99.125,THA,9.375
,501,Indonesia,138.125,IDN,-8.125
1.527286269112946E-5,502,Vietnam,107.375,VNM,15.875
,503,Indonesia,138.875,IDN,-3.375
1.9282562435820556E-5,504,Myanmar,92.875,MMR,21.125
4.826572302702022E-6,505,Indonesia,116.375,IDN,-2.375
1.2705324946041777E-5,506,Indonesia,96.125,IDN,4.375
