system:index,lat,lon
125,-7.125,110.625
126,-7.125,110.875
127,-7.125,111.125
128,-7.125,111.375
129,-7.125,111.625
130,-7.125,111.875
131,-7.125,112.125
132,-7.125,112.375
133,-7.125,112.625
134,-7.125,112.875
135,-7.125,113.125
136,-7.125,113.375
137,-7.125,113.625
138,-6.875,105.125
139,-6.875,105.375
140,-6.875,105.625
141,-6.875,105.875
142,-6.875,106.125
143,-6.875,106.375
144,-6.875,106.625
145,-6.875,106.875
146,-6.875,107.125
147,-6.875,107.375
148,-6.875,107.625
149,-6.875,107.875
150,-6.875,108.125
151,-6.875,108.375
152,-6.875,108.625
153,-6.875,108.875
154,-6.875,109.125
155,-6.875,109.375
156,-6.875,109.625
157,-6.875,109.875
158,-6.875,110.125
159,-6.875,110.375
160,-6.875,110.625
161,-6.875,110.875
162,-6.875,111.125
163,-6.875,111.375
164,-6.875,111.625
165,-6.875,111.875
166,-6.875,112.125
167,-6.875,112.375
168,-6.875,112.625
169,-6.875,112.875
170,-6.875,113.125
171,-6.875,113.375
172,-6.875,113.625
173,-6.625,105.125
174,-6.625,105.375
175,-6.625,105.625
176,-6.625,105.875
177,-6.625,106.125
178,-6.625,106.375
179,-6.625,106.625
180,-6.625,106.875
181,-6.625,107.125
182,-6.625,107.375
183,-6.625,107.625
184,-6.625,107.875
185,-6.625,108.125
186,-6.625,108.375
187,-6.625,108.625
188,-6.625,108.875
189,-6.625,110.625
190,-6.625,110.875
191,-6.625,111.125
192,-6.625,111.375
193,-6.625,111.625
194,-6.375,105.625
195,-6.375,105.875
196,-6.375,106.125
197,-6.375,106.375
198,-6.375,106.625
199,-6.375,106.875
200,-6.375,107.125
201,-6.375,107.375
202,-6.375,107.625
203,-6.375,107.875
204,-6.375,108.125
205,-6.375,108.375
206,-6.375,108.625
207,-6.375,110.625
208,-6.375,110.875
209,-6.375,111.125
210,-6.125,105.375
211,-6.125,105.875
212,-6.125,106.125
213,-6.125,106.375
214,-6.125,106.625
215,-6.125,106.875
216,-6.125,107.125
217,-6.125,107.375
218,-6.125,107.625
219,-6.125,107.875
220,-6.125,108.125
221,-6.125,108.375
222,-5.875,104.375
223,-5.875,104.625
224,-5.875,104.875
225,-5.875,105.125
226,-5.875,105.375
227,-5.875,105.625
228,-5.875,105.875
229,-5.875,106.125
230,-5.875,106.375
231,-5.875,106.625
232,-5.875,106.875
233,-5.875,107.125
234,-5.875,107.375
235,-5.875,110.125
236,-5.875,110.375
237,-5.875,110.625
238,-5.875,112.625
239,-5.875,112.875
240,-5.625,104.125
241,-5.625,104.375
242,-5.625,104.625
243,-5.625,104.875
244,-5.625,105.125
245,-5.625,105.375
246,-5.625,105.625
247,-5.625,105.875
248,-5.625,106.625
249,-5.625,110.125
250,-5.625,110.375
251,-5.625,112.625
252,-5.375,102.125
253,-5.375,102.375
254,-5.375,103.875
255,-5.375,104.125
256,-5.375,104.375
257,-5.375,104.625
258,-5.375,104.875
259,-5.375,105.125
260,-5.375,105.375
261,-5.375,105.625
262,-5.375,105.875
263,-5.375,106.375
264,-5.375,106.625
265,-5.125,103.625
266,-5.125,103.875
267,-5.125,104.125
268,-5.125,104.375
269,-5.125,104.625
270,-5.125,104.875
271,-5.125,105.125
272,-5.125,105.375
273,-5.125,105.625
274,-5.125,105.875
275,-5.125,106.125
276,-5.125,106.375
277,-4.875,103.375
278,-4.875,103.625
279,-4.875,103.875
280,-4.875,104.125
281,-4.875,104.375
282,-4.875,104.625
283,-4.875,104.875
284,-4.875,105.125
285,-4.875,105.375
286,-4.875,105.625
287,-4.875,105.875
288,-4.625,102.875
289,-4.625,103.125
290,-4.625,103.375
291,-4.625,103.625
292,-4.625,103.875
293,-4.625,104.125
294,-4.625,104.375
295,-4.625,104.625
296,-4.625,104.875
297,-4.625,105.125
298,-4.625,105.375
299,-4.625,105.625
300,-4.625,105.875
301,-4.375,102.625
302,-4.375,102.875
303,-4.375,103.125
304,-4.375,103.375
305,-4.375,103.625
306,-4.375,103.875
307,-4.375,104.125
308,-4.375,104.375
309,-4.375,104.625
310,-4.375,104.875
311,-4.375,105.125
312,-4.375,105.375
313,-4.375,105.625
314,-4.375,105.875
315,-4.125,102.375
316,-4.125,102.625
317,-4.125,102.875
318,-4.125,103.125
319,-4.125,103.375
320,-4.125,103.625
321,-4.125,103.875
322,-4.125,104.125
323,-4.125,104.375
324,-4.125,104.625
325,-4.125,104.875
326,-4.125,105.125
327,-4.125,105.375
328,-4.125,105.625
329,-4.125,105.875
330,-3.875,102.125
331,-3.875,102.375
332,-3.875,102.625
333,-3.875,102.875
334,-3.875,103.125
335,-3.875,103.375
336,-3.875,103.625
337,-3.875,103.875
338,-3.875,104.125
339,-3.875,104.375
340,-3.875,104.625
341,-3.875,104.875
342,-3.875,105.125
343,-3.875,105.375
344,-3.875,105.625
345,-3.875,105.875
346,-3.625,101.875
347,-3.625,102.125
348,-3.625,102.375
349,-3.625,102.625
350,-3.625,102.875
351,-3.625,103.125
352,-3.625,103.375
353,-3.625,103.625
354,-3.625,103.875
355,-3.625,104.125
356,-3.625,104.375
