pearson,p,lon,lat,Country,pattern
-0.20753048,0.211,103.875,16.125,Thailand,intensifying hot spot
-0.491928679,0.002,104.125,0.875,Indonesia,intensifying hot spot
-0.247267016,0.134,104.125,15.125,Thailand,intensifying hot spot
-0.154797213,0.347,104.125,15.375,Thailand,intensifying hot spot
-0.266075341,0.106,104.125,15.875,Thailand,intensifying hot spot
-0.197711918,0.228,104.375,1.125,Indonesia,intensifying hot spot
-0.230687775,0.163,104.625,0.875,Indonesia,intensifying hot spot
-0.227969758,0.163,104.625,1.125,Indonesia,intensifying hot spot
-0.314997203,0.054,105.125,10.625,Cambodia,intensifying hot spot
-0.223646205,0.171,105.125,10.875,Cambodia,intensifying hot spot
-0.33302043,0.038,105.125,11.125,Cambodia,intensifying hot spot
-0.390917418,0.014,105.125,11.375,Cambodia,intensifying hot spot
-0.197675436,0.262,105.125,20.125,Vietnam,intensifying hot spot
-0.123696728,0.479,105.125,20.375,Vietnam,intensifying hot spot
-0.557066701,0,105.375,10.375,Vietnam,intensifying hot spot
-0.367865678,0.021,105.375,10.625,Vietnam,intensifying hot spot
-0.277763683,0.087,105.375,10.875,Cambodia,intensifying hot spot
-0.231424909,0.156,105.375,11.125,Cambodia,intensifying hot spot
-0.149073011,0.365,105.375,11.375,Cambodia,intensifying hot spot
0.068956597,0.677,105.375,11.625,Cambodia,intensifying hot spot
-0.355886047,0.033,105.375,19.625,Vietnam,intensifying hot spot
-0.330978949,0.052,105.375,19.875,Vietnam,intensifying hot spot
-0.120345418,0.512,105.375,20.125,Vietnam,intensifying hot spot
-0.277395421,0.112,105.375,20.375,Vietnam,intensifying hot spot
-0.125253145,0.48,105.375,20.625,Vietnam,intensifying hot spot
-0.474533683,0.003,105.625,10.125,Vietnam,intensifying hot spot
-0.545440943,0,105.625,10.375,Vietnam,intensifying hot spot
-0.266795693,0.101,105.625,10.625,Vietnam,intensifying hot spot
-0.191179474,0.244,105.625,10.875,Cambodia,intensifying hot spot
-0.221280378,0.176,105.625,11.125,Cambodia,intensifying hot spot
-0.242553441,0.137,105.625,11.375,Cambodia,intensifying hot spot
-0.420011518,0.008,105.625,11.625,Cambodia,intensifying hot spot
-0.421567986,0.015,105.625,19.375,Vietnam,intensifying hot spot
-0.558088105,0,105.625,19.625,Vietnam,intensifying hot spot
-0.3792507,0.025,105.625,19.875,Vietnam,intensifying hot spot
-0.455332135,0.007,105.625,20.125,Vietnam,intensifying hot spot
-0.381768894,0.024,105.625,20.375,Vietnam,intensifying hot spot
-0.203600273,0.241,105.625,20.625,Vietnam,intensifying hot spot
-0.426446908,0.011,105.625,20.875,Vietnam,intensifying hot spot
-0.189363782,0.255,105.875,10.125,Vietnam,intensifying hot spot
-0.420962839,0.008,105.875,10.375,Vietnam,intensifying hot spot
-0.162670436,0.322,105.875,10.625,Vietnam,intensifying hot spot
-0.294292087,0.069,105.875,10.875,Cambodia,intensifying hot spot
-0.461437974,0.003,105.875,11.125,Cambodia,intensifying hot spot
-0.357143718,0.026,105.875,11.375,Cambodia,intensifying hot spot
-0.441777345,0.005,105.875,11.625,Cambodia,intensifying hot spot
-0.353379651,0.037,105.875,19.375,Vietnam,intensifying hot spot
-0.580541485,0,105.875,19.625,Vietnam,intensifying hot spot
-0.784901594,0,105.875,19.875,Vietnam,intensifying hot spot
-0.663139561,0,105.875,20.125,Vietnam,intensifying hot spot
-0.610046175,0,105.875,20.375,Vietnam,intensifying hot spot
-0.302862807,0.087,105.875,20.625,Vietnam,intensifying hot spot
-0.413841051,0.015,105.875,20.875,Vietnam,intensifying hot spot
-0.309516664,0.055,105.875,9.875,Vietnam,intensifying hot spot
-0.347496356,0.03,106.125,10.125,Vietnam,intensifying hot spot
-0.374409112,0.021,106.125,10.375,Vietnam,intensifying hot spot
-0.374026086,0.019,106.125,10.625,Vietnam,intensifying hot spot
-0.321933036,0.046,106.125,10.875,Cambodia,intensifying hot spot
-0.604973587,0,106.125,11.125,Cambodia,intensifying hot spot
-0.369794283,0.021,106.125,11.375,Vietnam,intensifying hot spot
-0.414042429,0.009,106.125,11.625,Cambodia,intensifying hot spot
-0.618983935,0,106.125,19.875,Vietnam,intensifying hot spot
-0.409583942,0.015,106.125,20.125,Vietnam,intensifying hot spot
-0.286153433,0.096,106.125,20.375,Vietnam,intensifying hot spot
-0.35112522,0.042,106.125,20.625,Vietnam,intensifying hot spot
-0.408272466,0.017,106.125,20.875,Vietnam,intensifying hot spot
-0.22484873,0.194,106.125,21.125,Vietnam,intensifying hot spot
-0.411085922,0.009,106.125,9.875,Vietnam,intensifying hot spot
-0.591362114,0,106.375,10.125,Vietnam,intensifying hot spot
-0.440363816,0.005,106.375,10.375,Vietnam,intensifying hot spot
-0.523321619,0.001,106.375,10.625,Vietnam,intensifying hot spot
-0.526239271,0.001,106.375,10.875,Vietnam,intensifying hot spot
-0.447258717,0.004,106.375,11.125,Vietnam,intensifying hot spot
-0.434179502,0.006,106.375,11.375,Vietnam,intensifying hot spot
-0.642092498,0,106.375,11.625,Cambodia,intensifying hot spot
-0.523265395,0.001,106.375,20.125,Vietnam,intensifying hot spot
-0.506935538,0.003,106.375,20.375,Vietnam,intensifying hot spot
-0.570357093,0.001,106.375,20.625,Vietnam,intensifying hot spot
-0.521121528,0.002,106.375,20.875,Vietnam,intensifying hot spot
-0.640759714,0,106.375,9.625,Vietnam,intensifying hot spot
-0.334399262,0.04,106.375,9.875,Vietnam,intensifying hot spot
-0.327835833,0.042,106.625,10.125,Vietnam,intensifying hot spot
-0.415475433,0.009,106.625,10.375,Vietnam,intensifying hot spot
-0.403251111,0.011,106.625,10.625,Vietnam,intensifying hot spot
-0.408726637,0.01,106.625,10.875,Vietnam,intensifying hot spot
-0.506178771,0.001,106.625,11.125,Vietnam,intensifying hot spot
-0.295689208,0.068,106.625,11.375,Vietnam,intensifying hot spot
-0.462353321,0.007,106.625,20.375,Vietnam,intensifying hot spot
-0.547099727,0.001,106.625,20.625,Vietnam,intensifying hot spot
-0.505120898,0.002,106.625,20.875,Vietnam,intensifying hot spot
0.319497058,0.051,106.625,9.625,Vietnam,intensifying hot spot
-0.040114372,0.811,106.625,9.875,Vietnam,intensifying hot spot
-0.459020265,0.003,106.875,10.375,Vietnam,intensifying hot spot
-0.48018642,0.002,106.875,10.625,Vietnam,intensifying hot spot
-0.303147929,0.064,106.875,10.875,Vietnam,intensifying hot spot
-0.123195603,0.455,106.875,11.125,Vietnam,intensifying hot spot
-0.136931839,0.406,106.875,11.375,Vietnam,intensifying hot spot
-0.482111988,0.004,106.875,20.875,Vietnam,intensifying hot spot
-0.039474248,0.825,106.875,21.125,Vietnam,intensifying hot spot
