,lon,lat
793,84.875,9.625
794,84.875,9.375
795,84.875,9.125
796,84.875,8.875
797,84.875,8.625
798,84.875,8.375
799,84.875,8.125
800,84.875,7.875
801,84.875,7.625
802,84.875,7.375
803,84.875,7.125
804,84.875,6.875
805,84.875,6.625
806,84.875,6.375
807,84.875,6.125
808,84.875,5.875
809,84.875,5.625
810,84.875,5.375
811,84.875,5.125
812,84.875,4.875
813,84.875,4.625
814,84.875,4.375
815,84.875,4.125
816,84.875,3.875
817,84.875,3.625
818,84.875,3.375
819,84.875,3.125
820,84.875,2.875
821,84.875,2.625
822,84.875,2.375
823,84.875,2.125
824,84.875,1.875
825,84.875,1.625
826,84.875,1.375
827,84.875,1.125
828,84.875,0.875
829,84.875,0.625
830,84.875,0.375
831,84.875,0.125
832,84.875,-0.125
833,84.875,-0.375
834,84.875,-0.625
835,84.875,-0.875
836,84.875,-1.125
837,84.875,-1.375
838,84.875,-1.625
839,84.875,-1.875
840,84.875,-2.125
841,84.875,-2.375
842,84.875,-2.625
843,84.875,-2.875
844,84.875,-3.125
845,84.875,-3.375
846,84.875,-3.625
847,84.875,-3.875
848,84.875,-4.125
849,84.875,-4.375
850,84.875,-4.625
851,84.875,-4.875
852,84.875,-5.125
853,84.875,-5.375
854,84.875,-5.625
855,84.875,-5.875
856,84.875,-6.125
857,84.875,-6.375
858,84.875,-6.625
859,84.875,-6.875
860,84.875,-7.125
861,84.875,-7.375
862,84.875,-7.625
863,84.875,-7.875
864,84.875,-8.125
865,84.875,-8.375
866,84.875,-8.625
867,84.875,-8.875
868,84.875,-9.125
869,84.875,-9.375
870,84.875,-9.625
871,84.875,-9.875
872,84.875,-10.125
873,84.875,-10.375
874,84.875,-10.625
875,84.875,-10.875
876,84.875,-11.125
877,84.875,-11.375
878,84.875,-11.625
879,84.875,-11.875
880,85.125,31.875
881,85.125,31.625
882,85.125,31.375
883,85.125,31.125
884,85.125,30.875
885,85.125,30.625
886,85.125,30.375
887,85.125,30.125
888,85.125,29.875
889,85.125,29.625
890,85.125,29.375
891,85.125,29.125
892,85.125,28.875
893,85.125,28.625
894,85.125,28.375
895,85.125,28.125
896,85.125,27.875
897,85.125,27.625
898,85.125,27.375
899,85.125,27.125
900,85.125,26.875
901,85.125,26.625
902,85.125,26.375
903,85.125,26.125
904,85.125,25.875
905,85.125,25.625
906,85.125,25.375
907,85.125,25.125
908,85.125,24.875
909,85.125,24.625
910,85.125,24.375
911,85.125,24.125
912,85.125,23.875
913,85.125,23.625
914,85.125,23.375
915,85.125,23.125
916,85.125,22.875
917,85.125,22.625
918,85.125,22.375
919,85.125,22.125
920,85.125,21.875
921,85.125,21.625
922,85.125,21.375
923,85.125,21.125
924,85.125,20.875
925,85.125,20.625
926,85.125,20.375
927,85.125,20.125
928,85.125,19.875
929,85.125,19.625
