lon,lat,Code,Country
101.875,0.875,IDN,Indonesia
98.375,14.625,MMR,Myanmar
98.375,3.625,IDN,Indonesia
93.125,21.875,MMR,Myanmar
121.875,18.875,PHL,Philippines
97.625,17.375,MMR,Myanmar
140.875,-5.375,IDN,Indonesia
102.875,-0.875,IDN,Indonesia
112.125,-0.875,IDN,Indonesia
98.125,14.625,MMR,Myanmar
104.875,22.875,VNM,Vietnam
114.875,3.875,MYS,Malaysia
115.625,2.125,IDN,Indonesia
126.125,8.125,PHL,Philippines
95.125,17.625,MMR,Myanmar
121.375,14.375,PHL,Philippines
97.875,21.375,MMR,Myanmar
104.125,-2.125,IDN,Indonesia
113.375,1.875,MYS,Malaysia
110.625,-2.875,IDN,Indonesia
93.625,23.875,MMR,Myanmar
99.875,8.625,THA,Thailand
97.875,19.375,THA,Thailand
101.875,0.625,IDN,Indonesia
104.875,12.375,KHM,Cambodia
107.375,13.125,KHM,Cambodia
103.125,12.125,KHM,Cambodia
98.625,2.875,IDN,Indonesia
97.375,25.125,MMR,Myanmar
103.375,21.125,VNM,Vietnam
101.875,21.375,LAO,Laos
100.875,4.375,MYS,Malaysia
120.625,14.875,PHL,Philippines
115.875,0.125,IDN,Indonesia
117.125,0.125,IDN,Indonesia
105.125,-4.375,IDN,Indonesia
106.375,21.875,VNM,Vietnam
111.875,-7.375,IDN,Indonesia
120.875,16.875,PHL,Philippines
110.375,0.625,IDN,Indonesia
121.375,13.125,PHL,Philippines
102.875,13.125,KHM,Cambodia
100.625,14.125,THA,Thailand
103.375,2.625,MYS,Malaysia
109.125,12.875,VNM,Vietnam
94.875,24.875,MMR,Myanmar
103.125,11.375,KHM,Cambodia
139.625,-4.125,IDN,Indonesia
117.375,8.625,PHL,Philippines
106.625,11.125,VNM,Vietnam
100.875,20.625,LAO,Laos
105.875,-6.625,IDN,Indonesia
101.625,-0.625,IDN,Indonesia
104.125,10.875,KHM,Cambodia
99.875,0.125,IDN,Indonesia
103.125,4.625,MYS,Malaysia
120.875,16.625,PHL,Philippines
101.875,4.125,MYS,Malaysia
93.875,22.625,MMR,Myanmar
101.625,20.625,LAO,Laos
117.625,4.125,IDN,Indonesia
104.875,15.625,THA,Thailand
107.625,12.875,VNM,Vietnam
112.875,2.875,MYS,Malaysia
97.125,3.875,IDN,Indonesia
124.375,0.625,IDN,Indonesia
109.875,-7.625,IDN,Indonesia
94.875,20.125,MMR,Myanmar
136.875,-4.875,IDN,Indonesia
105.875,16.875,LAO,Laos
96.625,26.125,MMR,Myanmar
121.875,-1.625,IDN,Indonesia
105.375,-4.375,IDN,Indonesia
116.375,4.625,MYS,Malaysia
99.625,18.875,THA,Thailand
107.125,-6.125,IDN,Indonesia
103.875,-1.625,IDN,Indonesia
112.875,-1.125,IDN,Indonesia
126.125,7.125,PHL,Philippines
97.375,23.875,MMR,Myanmar
120.375,-3.625,IDN,Indonesia
112.375,-2.625,IDN,Indonesia
100.375,7.625,THA,Thailand
109.375,12.875,VNM,Vietnam
92.625,20.625,MMR,Myanmar
94.375,18.375,MMR,Myanmar
98.125,19.875,MMR,Myanmar
100.125,20.625,MMR,Myanmar
121.625,-3.875,IDN,Indonesia
118.875,10.125,PHL,Philippines
98.125,23.375,MMR,Myanmar
102.875,14.625,THA,Thailand
99.875,14.625,THA,Thailand
98.375,25.625,MMR,Myanmar
138.375,-3.125,IDN,Indonesia
105.125,19.625,VNM,Vietnam
130.875,-3.625,IDN,Indonesia
107.625,13.625,VNM,Vietnam
99.125,19.875,THA,Thailand
100.375,15.375,THA,Thailand
97.375,5.125,IDN,Indonesia
101.375,6.875,THA,Thailand
102.625,20.625,LAO,Laos
103.125,-2.625,IDN,Indonesia
93.625,22.375,MMR,Myanmar
103.625,15.375,THA,Thailand
100.625,5.625,MYS,Malaysia
101.125,6.625,THA,Thailand
96.375,22.625,MMR,Myanmar
95.125,22.375,MMR,Myanmar
120.875,-8.875,IDN,Indonesia
115.875,-0.625,IDN,Indonesia
135.875,-0.875,IDN,Indonesia
97.875,26.375,MMR,Myanmar
104.875,-2.625,IDN,Indonesia
116.375,3.125,IDN,Indonesia
124.125,7.875,PHL,Philippines
120.375,-1.125,IDN,Indonesia
98.375,14.375,MMR,Myanmar
107.875,13.875,VNM,Vietnam
104.125,15.625,THA,Thailand
100.125,2.375,IDN,Indonesia
128.375,-2.875,IDN,Indonesia
99.875,8.375,THA,Thailand
116.875,0.875,IDN,Indonesia
120.375,-1.375,IDN,Indonesia
108.375,13.625,VNM,Vietnam
