first,system:index,Country,lon,Code,lat
8.049647896176135E-6,94,Indonesia,109.375,IDN,0.625
2.0250041391017063E-5,95,Laos,105.125,LAO,17.125
1.9697027707872764E-5,96,Cambodia,105.625,KHM,11.125
1.0615990029432034E-5,97,Malaysia,118.125,MYS,5.625
7.567963958889976E-6,98,Indonesia,116.375,IDN,4.125
7.286573393414021E-6,99,Indonesia,119.375,IDN,-9.625
4.6270708778819194E-5,100,Malaysia,104.125,MYS,1.375
8.629620229212998E-6,101,Indonesia,116.125,IDN,-3.625
3.6599011531470036E-6,102,Indonesia,136.875,IDN,-2.625
1.2549553501479652E-5,103,Indonesia,102.375,IDN,0.375
1.7255652191407905E-5,104,Philippines,121.125,PHL,15.625
1.7415002155231223E-5,105,Thailand,99.375,THA,16.125
3.510394472184766E-5,106,Indonesia,107.875,IDN,-6.375
1.3225152366214151E-5,107,Laos,101.875,LAO,19.875
7.324085796273398E-6,108,Malaysia,111.875,MYS,1.375
6.402049979569485E-6,109,Indonesia,96.375,IDN,4.125
1.183690477076862E-5,110,Laos,103.125,LAO,19.875
2.1415054049933973E-5,111,Thailand,104.125,THA,14.375
1.194526158301193E-5,112,Thailand,98.625,THA,19.125
1.1659077789845455E-5,113,Myanmar,95.625,MMR,23.125
1.6713345569621222E-5,114,Vietnam,104.125,VNM,21.875
7.768428885990732E-6,115,Myanmar,96.375,MMR,24.625
1.2825053660393798E-5,116,Indonesia,120.125,IDN,-4.375
1.1739288899616007E-5,117,Indonesia,103.625,IDN,0.125
8.716405578717926E-6,118,Myanmar,98.625,MMR,23.375
3.0982557454858386E-5,119,Vietnam,105.375,VNM,18.375
1.6292387144879827E-5,120,Thailand,102.125,THA,17.625
1.6176504078123933E-5,121,Thailand,101.625,THA,17.875
1.2213394826652334E-5,122,Laos,101.125,LAO,20.875
1.2336585221391003E-5,123,Laos,102.375,LAO,19.625
3.094847758476994E-5,124,Vietnam,105.375,VNM,10.375
1.425429378470251E-5,125,Philippines,121.375,PHL,13.875
6.318428263181557E-6,126,Indonesia,102.875,IDN,-3.625
7.097069305676459E-6,127,Indonesia,116.875,IDN,-0.375
7.288621293723529E-6,128,Myanmar,95.625,MMR,26.375
1.1403545837967633E-5,129,Laos,103.625,LAO,19.625
9.845882854227607E-6,130,Myanmar,93.125,MMR,21.125
1.5725859894173884E-5,131,Myanmar,99.125,MMR,12.375
4.645364353968187E-6,132,Indonesia,96.625,IDN,4.125
1.4814352228521404E-5,133,Thailand,102.125,THA,17.875
4.641320634411193E-6,134,Indonesia,137.125,IDN,-2.375
1.554757442723388E-5,135,Myanmar,95.125,MMR,20.375
5.1335486955000495E-5,136,Thailand,100.875,THA,13.875
5.369626713138215E-6,137,Indonesia,116.375,IDN,1.125
