system:index,lat,lon
591,16.125,120.625
592,15.875,120.625
593,15.625,120.625
594,15.375,120.625
595,15.125,120.625
596,14.875,120.625
597,14.625,120.625
598,14.375,120.625
599,14.125,120.625
600,13.875,120.625
601,13.625,120.625
602,13.375,120.625
603,13.125,120.625
604,12.875,120.625
605,12.625,120.625
606,12.375,120.625
607,12.125,120.625
608,11.875,120.625
609,11.625,120.625
610,11.375,120.625
611,11.125,120.625
612,10.875,120.625
613,10.625,120.625
614,10.375,120.625
615,10.125,120.625
616,9.875,120.625
617,9.625,120.625
618,9.375,120.625
619,9.125,120.625
620,8.875,120.625
621,8.625,120.625
622,8.375,120.625
623,8.125,120.625
624,7.875,120.625
625,7.625,120.625
626,7.375,120.625
627,7.125,120.625
628,6.875,120.625
629,6.625,120.625
630,6.375,120.625
631,6.125,120.625
632,5.875,120.625
633,5.625,120.625
634,5.375,120.625
635,5.125,120.625
636,4.875,120.625
637,4.625,120.625
638,4.375,120.625
639,4.125,120.625
640,3.875,120.625
641,3.625,120.625
642,3.375,120.625
643,3.125,120.625
644,2.875,120.625
645,2.625,120.625
646,2.375,120.625
647,2.125,120.625
648,1.875,120.625
649,1.625,120.625
650,1.375,120.625
651,1.125,120.625
652,0.875,120.625
653,0.625,120.625
654,0.375,120.625
655,0.125,120.625
656,-0.125,120.625
657,-0.375,120.625
658,-0.625,120.625
659,-0.875,120.625
660,-1.125,120.625
661,-1.375,120.625
662,-1.625,120.625
663,-1.875,120.625
664,-2.125,120.625
665,-2.375,120.625
666,-2.625,120.625
667,-2.875,120.625
668,-3.125,120.625
669,-3.375,120.625
670,-3.625,120.625
671,-3.875,120.625
672,-4.125,120.625
673,-4.375,120.625
674,-4.625,120.625
675,-4.875,120.625
676,-5.125,120.625
677,-5.375,120.625
678,-5.625,120.625
679,-5.875,120.625
680,-6.125,120.625
681,-6.375,120.625
682,-6.625,120.625
683,-6.875,120.625
684,-7.125,120.625
685,-7.375,120.625
686,-7.625,120.625
687,-7.875,120.625
688,-8.125,120.625
689,-8.375,120.625
690,-8.625,120.625
691,-8.875,120.625
692,-9.125,120.625
693,-9.375,120.625
694,-9.625,120.625
695,-9.875,120.625
696,-10.125,120.625
697,-10.375,120.625
698,-10.625,120.625
699,-10.875,120.625
700,-11.125,120.625
701,-11.375,120.625
702,-11.625,120.625
703,-11.875,120.625
704,31.875,120.875
705,31.625,120.875
706,31.375,120.875
707,31.125,120.875
708,30.875,120.875
709,30.625,120.875
710,30.375,120.875
711,30.125,120.875
712,29.875,120.875
713,29.625,120.875
714,29.375,120.875
715,29.125,120.875
716,28.875,120.875
717,28.625,120.875
718,28.375,120.875
719,28.125,120.875
720,27.875,120.875
721,27.625,120.875
722,27.375,120.875
723,27.125,120.875
724,26.875,120.875
725,26.625,120.875
726,26.375,120.875
727,26.125,120.875
728,25.875,120.875
729,25.625,120.875
730,25.375,120.875
731,25.125,120.875
732,24.875,120.875
733,24.625,120.875
734,24.375,120.875
735,24.125,120.875
736,23.875,120.875
737,23.625,120.875
738,23.375,120.875
739,23.125,120.875
740,22.875,120.875
741,22.625,120.875
742,22.375,120.875
743,22.125,120.875
744,21.875,120.875
745,21.625,120.875
746,21.375,120.875
747,21.125,120.875
748,20.875,120.875
749,20.625,120.875
750,20.375,120.875
751,20.125,120.875
752,19.875,120.875
753,19.625,120.875
754,19.375,120.875
755,19.125,120.875
756,18.875,120.875
757,18.625,120.875
758,18.375,120.875
759,18.125,120.875
760,17.875,120.875
761,17.625,120.875
762,17.375,120.875
763,17.125,120.875
764,16.875,120.875
765,16.625,120.875
766,16.375,120.875
767,16.125,120.875
768,15.875,120.875
769,15.625,120.875
770,15.375,120.875
771,15.125,120.875
772,14.875,120.875
773,14.625,120.875
774,14.375,120.875
775,14.125,120.875
776,13.875,120.875
777,13.625,120.875
778,13.375,120.875
779,13.125,120.875
780,12.875,120.875
781,12.625,120.875
782,12.375,120.875
783,12.125,120.875
784,11.875,120.875
785,11.625,120.875
786,11.375,120.875
787,11.125,120.875
788,10.875,120.875
789,10.625,120.875
790,10.375,120.875
791,10.125,120.875
792,9.875,120.875
793,9.625,120.875
794,9.375,120.875
795,9.125,120.875
796,8.875,120.875
797,8.625,120.875
798,8.375,120.875
